Feature,Score
"cat__Developer_Electronic Arts, Rebellion",0.00042064771964989145
cat__Name_The Last of Us,0.000419863949549959
cat__Developer_EA Black Box,0.0004190064921560932
cat__Name_World Destruction League: Thunder Tanks,0.0004190057153903304
cat__Name_Brutal Legend,0.0004184660053762057
cat__Name_Rugby World Cup 2015,0.00041753991566140236
cat__Publisher_Taito,0.00041656593452177315
cat__Publisher_Licensed 4U,0.0004164829005542936
cat__Name_SoulCalibur IV,0.00041608501027545763
cat__Name_Cloudy With a Chance of Meatballs,0.0004156960484699157
cat__Developer_EA Montreal,0.00041495335323438187
cat__Name_Virtua Tennis 2009,0.0004142587079265514
cat__Name_Tiger Woods PGA Tour 14,0.0004137868267347633
cat__Publisher_dramatic create,0.0004135867971406526
cat__Developer_MumboJumbo,0.00041083762864058126
cat__User_Score_3.8,0.00041081723162061934
cat__Publisher_Blast! Entertainment Ltd,0.00041000293282167366
cat__Developer_Firebrand Games,0.000409853813822858
cat__Name_Ben 10: Alien Force,0.0004094580847894269
cat__Name_Marvel Super Hero Squad: Comic Combat,0.00040849600454251345
cat__Developer_WayForward,0.00040789651432482366
cat__Developer_Tri-Ace,0.00040732763770590097
cat__Developer_Media Vision,0.0004063389462418687
cat__Publisher_Ubisoft Annecy,0.0004053770051106742
cat__Name_Battle vs. Chess,0.00040537252555450376
"cat__Developer_Jellyvision, Iron Galaxy Studios",0.0004053164403333698
cat__Name_Tony Hawk's Downhill Jam,0.00040477025263552235
cat__Name_X-Men Origins: Wolverine,0.00040389151325770367
cat__Name_Guitar Hero: Aerosmith,0.0004018349022895107
cat__Name_Pimp My Ride,0.0004018208298141035
cat__Name_Dragon Age: Inquisition,0.00040137432521192284
cat__Name_Rock Band,0.0004011653157726114
cat__Name_Need for Speed Carbon,0.0003997581943659956
cat__Name_Tornado Outbreak,0.0003995539056957931
cat__Developer_Loose Cannon Studios,0.0003995539056957931
cat__Publisher_Psygnosis,0.00039914636994597963
"cat__Developer_Bungie Software, Bungie",0.0003989534758055413
cat__Name_Syphon Filter: Dark Mirror,0.00039848152706101203
cat__Developer_Pam Development,0.00039814761843592894
cat__User_Score_5.8,0.00039802616252704315
cat__Publisher_Asgard,0.0003979495570550773
cat__Publisher_Sting,0.0003969578593387979
cat__Developer_Data Design Interactive,0.0003951309715938267
cat__Name_Green Day: Rock Band,0.000394729764634838
cat__Publisher_Sony Computer Entertainment Europe,0.00039425147359639645
cat__Name_Alvin and the Chipmunks: Chipwrecked,0.0003936039554574
cat__Name_Fight Night Round 4,0.00039262261229278117
cat__User_Score_3,0.00039048116982820513
cat__Name_NFL GameDay 2002,0.000389317213691287
cat__Developer_Sandlot,0.0003890638806441915
cat__Developer_Falcom,0.0003884475617155214
cat__Developer_MachineGames,0.0003883119608095731
cat__Name_SpongeBob SquarePants: Plankton's Robotic Revenge,0.0003883052550175403
cat__Publisher_BAM! Entertainment,0.0003879301000180302
cat__Developer_Monkey Bar Games,0.00038768235095831827
cat__Developer_Camelot Software Planning,0.0003868975884211423
cat__Developer_Coyote Console,0.0003868316758579571
cat__Publisher_Rondomedia,0.0003858274939119166
cat__Name_Minecraft: Story Mode,0.00038572733645148016
cat__Publisher_Mojang,0.00038572733645148016
cat__Name_DJ Hero 2,0.00038569355605511113
cat__Developer_2K Games,0.0003853232784875038
cat__Name_Minecraft,0.0003845016530509282
cat__Name_Diablo III,0.00038447305977507007
cat__Publisher_Brash Entertainment,0.00038442125338666866
cat__Developer_Compile Heart,0.00038391474221921573
cat__Developer_HotGen,0.00038388940611910893
cat__Name_Tiger Woods PGA Tour 13,0.0003824488712326213
cat__Name_Where the Wild Things Are,0.0003817664818541733
cat__Name_Enslaved: Odyssey to the West,0.00038091201302059563
cat__Developer_Heavy Iron Studios,0.0003807192650390201
cat__Publisher_Red Orb,0.0003806470125824468
cat__Name_Mario & Sonic at the Olympic Winter Games,0.0003781356638472566
cat__Developer_SCEE London Studio,0.0003770656341992584
cat__Publisher_Media Works,0.00037704085765155604
cat__Publisher_Avanquest Software,0.00037624220718468493
cat__Developer_Collision Studios,0.00037403457676821183
cat__Name_Battlefield 3,0.0003737508938332912
cat__Name_Golden Axe: Beast Rider,0.0003733685892848282
cat__Developer_Backbone Vancouver,0.0003730557123960976
cat__Name_Earth Defense Force: Insect Armageddon,0.00037201988980684053
cat__Name_The Witcher 2: Assassins of Kings,0.0003718488669527398
cat__Publisher_From Software,0.0003709707244546889
cat__Developer_Creat Studios,0.00037054019054627574
cat__Name_Spider-Man 2,0.0003705203073414154
cat__Developer_Raylight Studios,0.00036894653287822265
cat__Developer_Koolhaus Games,0.0003688188143566862
cat__Name_Mini Ninjas,0.00036829388708747857
cat__Developer_Deep Silver,0.00036803915990513136
cat__Name_Pac-Man and the Ghostly Adventures 2,0.00036782316649663915
cat__Developer_WB Games Montreal,0.0003677127389354329
cat__Publisher_Destineer,0.0003669863741909696
cat__Name_The Penguins of Madagascar: Dr. Blowhole Returns - Again!,0.00036670312777487
cat__Name_Red Dead Redemption: Undead Nightmare,0.0003660544890368156
cat__Name_NHL 13,0.0003657024411352072
cat__Publisher_Arena Entertainment,0.0003638494607092202
cat__Name_LEGO Star Wars III: The Clone Wars,0.0003619830801857571
cat__Name_Fritz Chess,0.0003614340791361359
cat__Name_Cabela's North American Adventures,0.00035970089606218725
cat__Name_Skylanders: Trap Team,0.00035951616957707877
cat__Name_Disney's DuckTales,0.0003593617310041486
cat__Name_NBA 2K15,0.0003592081306168504
cat__Name_UEFA Euro 2008 Austria-Switzerland,0.00035794893044738263
cat__Name_Mario & Sonic at the Olympic Games,0.00035753765610768706
cat__Developer_Visual Concepts,0.0003573603591191521
cat__Name_Battlefield: Bad Company,0.0003573552190704321
cat__Name_Prince of Persia,0.00035720083566603833
cat__Name_Ultimate Band,0.00035693282361770606
cat__Name_Just Dance 2015,0.0003557915781516874
cat__Name_Space Chimps,0.00035521563584328675
cat__Name_Harry Potter and the Deathly Hallows - Part 1,0.0003549000708790162
cat__Developer_Phoenix Interactive Entertainment,0.00035463095517673793
cat__Name_Family Guy: Back to the Multiverse,0.0003539967809936817
cat__Developer_Valve Software,0.00035328808018753044
cat__Developer_Oxygen Interactive,0.0003523402819961552
cat__Name_Skylanders Imaginators,0.0003521173556912949
cat__Name_LEGO Rock Band,0.0003513129769724399
cat__Publisher_KID,0.0003494486313059264
cat__User_Score_7.6,0.0003493299143149109
cat__Developer_Creatures Inc.,0.00034657846086960653
cat__Developer_Various,0.00034571070470068577
cat__Developer_505 Games,0.00034449014547377477
